kingdom,phylum,class,order,family,genus,species,scientificName,decimalLatitude,decimalLongitude,eventDate,month,year
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Drimia,Drimia pancration,Drimia pancration (Steinh.) J.C.Manning & Goldblatt,35.281859,-0.806331,2025-03-27,March,2025
Animalia,Arthropoda,Insecta,Hymenoptera,Scoliidae,Dasyscolia,Dasyscolia ciliata,"Dasyscolia ciliata (Fabricius, 1787)",36.465217,4.111147,2025-05-09,May,2025
Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Trithemis,Trithemis kirbyi,"Trithemis kirbyi Selys, 1891",22.821189,5.244997,2025-05-05,May,2025
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas crecca,"Anas crecca Linnaeus, 1758",35.704449,2.843727,2025-01-24,January,2025
Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,Himantopus himantopus,"Himantopus himantopus (Linnaeus, 1758)",36.771716,3.335114,2025-01-31,January,2025
Animalia,Chordata,Mammalia,Hyracoidea,Procaviidae,Procavia,Procavia capensis,"Procavia capensis (Pallas, 1766)",22.759215,5.814761,2025-04-09,April,2025
Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,Latrodectus geometricus,"Latrodectus geometricus C.L.Koch, 1841",36.713789,2.957694,2025-09-07,September,2025
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui,"Vanessa cardui (Linnaeus, 1758)",36.74255,2.971791,2025-06-05,June,2025
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,Hieraaetus pennatus,"Hieraaetus pennatus (Gmelin, 1788)",36.269165,4.846564,2025-04-19,April,2025
Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Polistes,Polistes dominula,"Polistes dominula (Christ, 1791)",35.243209,-1.571728,2025-09-12,September,2025
Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,Sylvia atricapilla,"Sylvia atricapilla (Linnaeus, 1758)",36.324994,4.928728,2025-03-22,March,2025
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Pallenis,Pallenis spinosa,Pallenis spinosa (L.) Cass.,36.749308,3.856036,2025-05-29,May,2025
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pyronia,Pyronia janiroides,"Pyronia janiroides (Herrich-Schäffer, 1851)",36.415448,5.903333,2025-07-30,July,2025
Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,"Coccinella septempunctata Linnaeus, 1758",36.33091,6.58331,2025-02-13,February,2025
Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Orthetrum,Orthetrum chrysostigma,"Orthetrum chrysostigma (Burmeister, 1839)",35.667132,-0.980231,2025-04-25,April,2025
Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus collybita,"Phylloscopus collybita (Vieillot, 1817)",35.721732,2.795662,2025-01-24,January,2025
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,Loxia curvirostra,"Loxia curvirostra Linnaeus, 1758",36.28298,4.500347,2025-05-06,May,2025
Animalia,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,Mastobunus,Mastobunus tuberculifer,"Mastobunus tuberculifer (Lucas, 1846)",36.748046,2.972672,2025-01-10,January,2025
Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,Sitta ledanti,"Sitta ledanti Vielliard, 1976",36.597534,5.561527,2025-08-03,August,2025
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Coccothraustes,Coccothraustes coccothraustes,"Coccothraustes coccothraustes (Linnaeus, 1758)",36.324994,4.928728,2025-03-22,March,2025
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium campestre,Trifolium campestre Schreb.,36.75243,5.034486,2025-05-07,May,2025
Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,Motacilla flava,"Motacilla flava Linnaeus, 1758",34.509719,-1.257634,2025-09-27,September,2025
Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Heliotaurus,Heliotaurus ruficollis,"Heliotaurus ruficollis (Fabricius, 1781)",36.225922,4.615662,2025-05-11,May,2025
Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Erodium,Erodium malacoides,Erodium malacoides (L.) L'Hér.,36.327759,6.580763,2025-03-25,March,2025
Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufotes,Bufotes boulengeri,"Bufotes boulengeri (Lataste, 1879)",36.660504,4.614048,2025-06-01,June,2025
Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Tachybaptus,Tachybaptus ruficollis,"Tachybaptus ruficollis (Pallas, 1764)",36.613986,2.783666,2025-10-08,October,2025
Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Asphodelus,Asphodelus ramosus,Asphodelus ramosus L.,36.40771,5.824142,2025-04-15,April,2025
Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole pallidula,"Pheidole pallidula (Nylander, 1849)",36.713489,2.960873,2025-02-27,February,2025
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Sherardia,Sherardia arvensis,Sherardia arvensis L.,36.244259,6.532185,2025-04-29,April,2025
Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Eruca,Eruca vesicaria,Eruca longirostris Uechtr.,35.267277,-0.779359,2025-03-17,March,2025
Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,Eristalis arbustorum,"Eristalis arbustorum (Linnaeus, 1758)",36.282597,4.501004,2025-05-02,May,2025
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Medicago,Medicago monspeliaca,Medicago monspeliaca (L.) Trautv.,34.901588,3.385856,2025-05-24,May,2025
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,Hirundo rustica,"Hirundo rustica Linnaeus, 1758",36.725157,2.991994,2025-09-26,September,2025
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Anthyllis,Anthyllis vulneraria,Anthyllis vulneraria subsp. maura (Beck) Maire,36.468452,4.185677,2025-07-11,July,2025
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Acanthus,Acanthus mollis,Acanthus mollis subsp. platyphyllus Murb.,36.758367,4.416493,2025-06-12,June,2025
Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus barbatus,"Pycnonotus barbatus (Desfontaines, 1789)",35.305812,-0.093992,2025-09-25,September,2025
Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Calocoris,Calocoris nemoralis,"Calocoris nemoralis (Fabricius, 1787)",36.725292,2.994876,2025-04-11,April,2025
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Launaea,Launaea fragilis,Launaea fragilis (Asso) Pau,34.707593,3.216097,2025-04-19,April,2025
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,Gyps fulvus,"Gyps fulvus (Hablizl, 1783)",36.269165,4.846564,2025-04-19,April,2025
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus vanellus,"Vanellus vanellus (Linnaeus, 1758)",36.131948,4.67375,2025-01-28,January,2025
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Serinus,Serinus serinus,"Serinus serinus (Linnaeus, 1766)",36.713548,4.047307,2025-04-18,April,2025
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo rufinus,"Buteo rufinus cirtensis (J.Levaillant, 1850)",36.72507,2.9918,2025-06-27,June,2025
Animalia,Arthropoda,Insecta,Coleoptera,Cleridae,Trichodes,Trichodes umbellatarum,"Trichodes umbellatarum (Olivier, 1800)",36.753315,5.034609,2025-05-12,May,2025
Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,"Coccinella septempunctata Linnaeus, 1758",36.129249,5.077551,2025-06-08,June,2025
Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus viscivorus,"Turdus viscivorus Linnaeus, 1758",36.630904,4.733001,2025-08-02,August,2025
Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Hogna,Hogna radiata,"Hogna radiata (Latreille, 1817)",36.4356,4.777162,2025-05-17,May,2025
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Clinopodium,Clinopodium vulgare,Clinopodium vulgare subsp. arundanum (Boiss.) Nyman,36.482811,7.859898,2025-07-09,July,2025
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pararge,Pararge aegeria,"Pararge aegeria (Linnaeus, 1758)",36.660504,4.614048,2025-06-01,June,2025
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus migrans,"Milvus migrans (Boddaert, 1783)",36.725208,2.991824,2025-05-16,May,2025
Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,Carabus morbillosus,"Carabus morbillosus Fabricius, 1792",36.751896,5.033527,2025-05-12,May,2025
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla spodiogenys,"Fringilla spodiogenys africana J.Levaillant, 1850",35.305812,-0.093992,2025-06-12,June,2025
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Silybum,Silybum eburneum,Silybum eburneum Coss. & Durieu,36.385412,6.597034,2025-04-19,April,2025
Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Lysimachia,Lysimachia foemina,Lysimachia foemina (Mill.) U.Manns & Anderb.,35.335456,-1.332879,2025-04-11,April,2025
Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco tinnunculus,"Falco tinnunculus Linnaeus, 1758",35.937782,0.737878,2025-03-29,March,2025
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Chloris,Chloris chloris,"Chloris chloris (Linnaeus, 1758)",36.487117,3.044019,2025-04-25,April,2025
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arbutus,Arbutus unedo,Arbutus unedo L.,34.663442,-0.229672,2025-03-15,March,2025
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Phlomis,Phlomis crinita,Phlomis crinita subsp. mauritanica (Munby) Murb.,36.655544,3.751061,2025-05-29,May,2025
Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,Ciconia ciconia,"Ciconia ciconia (Linnaeus, 1758)",36.324277,6.471165,2025-03-12,March,2025
Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Anthrenus,Anthrenus isabellinus,"Anthrenus isabellinus Küster, 1848",36.724977,2.992168,2025-06-03,June,2025
Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,"Anas platyrhynchos Linnaeus, 1758",35.305812,-0.093992,2025-06-26,June,2025
Protozoa,Mycetozoa,Myxomycetes,Stemonitidales,Stemonitidaceae,Stemonitis,Stemonitis splendens,"Stemonitis splendens Rostaf., 1874",36.33091,6.58331,2025-05-04,May,2025
Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,Chroicocephalus ridibundus,"Chroicocephalus ridibundus (Linnaeus, 1766)",36.805081,2.893922,2025-02-07,February,2025
Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus michahellis,"Larus michahellis J.F.Naumann, 1840",36.341791,6.806481,2025-02-12,February,2025
Animalia,Arthropoda,Insecta,Lepidoptera,Sesiidae,Microsphecia,Microsphecia tineiformis,"Microsphecia tineiformis (Esper, 1789)",36.064207,4.624841,2025-06-25,June,2025
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Galerida,Galerida cristata,"Galerida cristata (Linnaeus, 1758)",35.87337,0.750191,2025-03-07,March,2025
Animalia,Chordata,Amphibia,Anura,Alytidae,Discoglossus,Discoglossus pictus,"Discoglossus pictus Otth, 1837",36.761244,3.342561,2025-02-15,February,2025
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus alba,Populus alba L.,36.706845,4.185711,2025-06-30,June,2025
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus,Bubulcus ibis,"Ardea ibis Linnaeus, 1758",35.305812,-0.093992,2025-06-27,June,2025
Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Cicada,Cicada barbara,"Cicada barbara (Stål, 1866)",36.722401,5.030947,2025-07-09,July,2025
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui,"Vanessa cardui (Linnaeus, 1758)",35.921778,4.376913,2025-05-26,May,2025
Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Eyprepocnemis,Eyprepocnemis plorans,"Eyprepocnemis plorans (Charpentier, 1825)",36.726425,5.035645,2025-03-25,March,2025
Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Sympetrum,Sympetrum fonscolombii,"Sympetrum fonscolombii (Selys, 1840)",36.747829,2.97195,2025-09-24,September,2025
Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Brachythemis,Brachythemis impartita,"Brachythemis impartita (Karsch, 1890)",36.747857,2.971502,2025-06-27,June,2025
